id,console-name,product-name,loose-price,cib-price,new-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,gamestop-price,gamestop-trade-price,upc
16622,3DO,Shock Wave: Operation Jumpgate,$8.61 ,$10.99 ,$19.99 ,$1.80 ,$8.99 ,$2.40 ,$11.99 ,,,
16623,3DO,Shockwave 2: Beyond the Gate,$11.79 ,$18.99 ,$24.40 ,$2.40 ,$11.99 ,$4.00 ,$19.99 ,,,14633075502
16624,3DO,Slam 'N Jam '95,$7.62 ,$12.72 ,$16.67 ,$1.60 ,$7.99 ,$2.60 ,$12.99 ,,,7.6598E+11
16625,3DO,Slayer,$11.18 ,$46.96 ,$95.00 ,$2.40 ,$11.99 ,$19.60 ,$48.99 ,,,
16626,3DO,Snow Job,$65.51 ,$105.03 ,$150.00 ,$27.60 ,$68.99 ,$44.00 ,$109.99 ,,,
16627,3DO,Soccer Kid,$10.07 ,$17.27 ,$63.49 ,$2.20 ,$10.99 ,$3.60 ,$17.99 ,,,
16628,3DO,Space Ace,$21.24 ,$39.60 ,$64.00 ,$6.60 ,$21.99 ,$16.80 ,$41.99 ,,,92667650087
16629,3DO,Space Hulk: Vengeance of the Blood Angels,$17.25 ,$29.80 ,$38.53 ,$3.60 ,$17.99 ,$9.30 ,$30.99 ,,,14633073737
16630,3DO,Space Pirates,$19.97 ,$22.49 ,$50.03 ,$6.30 ,$20.99 ,$7.20 ,$23.99 ,,,
16631,3DO,Space Shuttle,$7.49 ,$29.99 ,$60.02 ,$1.58 ,$7.89 ,$9.30 ,$30.99 ,,,
16633,3DO,Star Control II,$27.37 ,$67.66 ,$72.12 ,$8.70 ,$28.99 ,$28.40 ,$70.99 ,,,7.6598E+11
16634,3DO,Star Fighter,$13.71 ,$22.55 ,$59.35 ,$2.80 ,$13.99 ,$7.20 ,$23.99 ,,,7.90561E+11
16635,3DO,Star Wars: Rebel Assault,$14.77 ,$42.77 ,$59.99 ,$3.20 ,$15.99 ,$18.00 ,$44.99 ,,,23272304225
16632,3DO,Starblade,$19.61 ,$19.97 ,$42.47 ,$6.30 ,$20.99 ,$7.50 ,$24.99 ,,,37988830176
16636,3DO,Stellar 7: Draxon's Revenge,$7.92 ,$9.92 ,$11.23 ,$1.66 ,$8.29 ,$2.00 ,$9.99 ,,,
16637,3DO,Strahl,$34.86 ,$48.22 ,$68.13 ,$14.80 ,$36.99 ,$20.40 ,$50.99 ,,,37988830237
16638,3DO,Super Models Go Wild,$37.25 ,$55.00 ,$110.00 ,$15.60 ,$38.99 ,$23.20 ,$57.99 ,,,
16639,3DO,Super Street Fighter II Turbo,$23.89 ,$39.99 ,$109.60 ,$7.50 ,$24.99 ,$16.80 ,$41.99 ,,,37988830114
16640,3DO,Super Wing Commander,$10.25 ,$27.50 ,$54.98 ,$2.20 ,$10.99 ,$8.70 ,$28.99 ,,,17814824807
16641,3DO,Supreme Warrior,$19.99 ,$26.88 ,$50.00 ,$6.30 ,$20.99 ,$8.40 ,$27.99 ,,,
16642,3DO,Syndicate,$13.91 ,$22.66 ,$48.60 ,$3.00 ,$14.99 ,$7.20 ,$23.99 ,,,14633073706
16643,3DO,Theme Park,$13.65 ,$20.36 ,$42.00 ,$2.80 ,$13.99 ,$6.30 ,$20.99 ,,,14633073669
